date (UTC),description,moneyIn (Satoshi),moneyOut (Satoshi),tx hash,current balance (Satoshi)
22/2/18 12:54,PAYMENT RECEIVED,300000,0,e99e2a4f40dd21d3b95329359a369752cc9679d77f7e1b8a5da0b62789628964,9.23471E+12
21/2/18 20:19,PAYMENT RECEIVED,5660,0,d688433e53eecba1a96e902154e1ca864e4d4b0201b7b269b7da41d1d0ffe627,9.23471E+12
21/2/18 17:23,PAYMENT RECEIVED,236000,0,92379ee6b5ff595ce3d850f1b44fe6e5feae4ed19ec5f5a126f0cc6f699af351,9.23471E+12
21/2/18 6:18,PAYMENT SENT,0,-4.30381E+11,bfebcdd2c30b6ab7ad8b2081aed149c36d5b3d5df584f9f94ab51ef59234a2ae,9.23471E+12
21/2/18 2:27,PAYMENT RECEIVED,11000,0,d8b4000fe5857d16e5855dc946e2ae4d4b438215b3c7bb54eef25a0221650337,9.66509E+12
20/2/18 9:43,PAYMENT RECEIVED,8872,0,378808e1d11cf8e30e7f6a51cb869a0ac8a102bb863895589b7280b942601168,9.66509E+12
20/2/18 7:00,PAYMENT RECEIVED,13506,0,910effaf03ec0c664cc0d50ef9a518fa2c89671058c893ee191982665b139556,9.66509E+12
20/2/18 5:30,PAYMENT RECEIVED,10000,0,884787fadaf02027bc5cf7848be2b697d7431774ed17477807e5d19313d0dd04,9.66509E+12
17/2/18 1:05,PAYMENT RECEIVED,100000,0,297cdae6d1e2a0b515b8fa3985db385096efbed06e0bb5ae8609700b65ff8d9a,9.66508E+12
17/2/18 0:21,PAYMENT RECEIVED,30704,0,3bb1d525b172d1a33d437312b5c867f3ecdc6b993e3798b710c8f3023e948776,9.66508E+12
16/2/18 8:51,PAYMENT RECEIVED,10075,0,c088c4ae61b7b1640f7c61d21e598c7df9ea92791202c30d5d33d1e131bdcb22,9.66508E+12
16/2/18 0:48,PAYMENT RECEIVED,10000,0,b93f58edf4f66e6f88ed649825c01f160d8318239696f34b8af55d7acdafede3,9.66508E+12
15/2/18 19:15,PAYMENT RECEIVED,49425,0,2708d0b8a91c834beafe06cce53e87c2b37735da613f422cbe30974f7ff66e20,9.66508E+12
